"tag_index","global_pvalue","video1concordance","video2concordance","video3concordance","video4concordance","video5concordance","video6concordance","video7concordance","video8concordance","video1pvalue","video2pvalue","video3pvalue","video4pvalue","video5pvalue","video6pvalue","video7pvalue","video8pvalue","video1mean","video2mean","video3mean","video4mean","video5mean","video6mean","video7mean","video8mean","video1sd","video2sd","video3sd","video4sd","video5sd","video6sd","video7sd","video8sd"
36,0.002,0.826543209876543,0.915277777777778,0.94984126984127,0.994594594594595,0.72258064516129,0.982857142857143,0.98,0.9625,0,0,0.236,1,0,1,1,1,0.113888888888889,0.0625,0.0257142857142857,0.0027027027027027,0.364516129032258,0.00857142857142857,0.01,0.01875,0.318118404208645,0.242440568938213,0.158508190640751,0.0519875244910036,0.482072378441417,0.0923163508644152,0.0996233508273798,0.135853276930167
37,1,0.994444444444444,0.99375,1,0.983783783783784,1,1,1,1,1,1,1,1,1,1,1,1,0.00277777777777778,0.003125,0,0.00810810810810811,0,0,0,0,0.052704627669473,0.0559016994374947,0,0.0898006777407515,0,0,0,0
38,1,1,1,1,0.994594594594595,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0.0027027027027027,0,0,0,0,0,0,0,0.0519875244910036,0,0,0,0
39,0.012,0.983333333333333,0.98125,1,1,0.797849462365591,0.988571428571429,0.801111111111111,0.881944444444444,1,1,1,1,0.051,1,0,0,0.00833333333333333,0.009375,0,0,0.109677419354839,0.00571428571428571,0.16,0.06875,0.0910324561790707,0.0965205810722921,0,0,0.312992486969684,0.0754845176362906,0.367065174192899,0.253424817117492
40,0,0.911728395061728,0.899305555555556,1,1,0.744086021505376,0.978412698412698,0.954444444444444,0.975,0.173,0.299,1,1,0.012,0.137,0,1,0.0472222222222222,0.053125,0,0,0.151612903225806,0.0114285714285714,0.03,0.0125,0.212409064417832,0.22463397605325,0,0,0.359225134932949,0.10644403017341,0.170800855767256,0.11127643569537
41,1,0.994444444444444,1,0.982857142857143,1,1,1,1,0.99375,1,1,1,1,1,1,1,1,0.00277777777777778,0,0.00857142857142857,0,0,0,0,0.003125,0.052704627669473,0,0.0923163508644152,0,0,0,0,0.0559016994374947
42,0.025,1,0.9875,0.903492063492063,0.92972972972973,1,1,0.912777777777778,1,1,1,0.159,1,1,1,0,1,0,0.00625,0.0514285714285714,0.0351351351351351,0,0,0.0475,0,0,0.0789329305392304,0.221186470582463,0.184370629750186,0,0,0.212972164512508,0
43,1,1,1,1,1,0.993548387096774,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0032258064516129,0,0,0,0,0,0,0,0.0567961834247065,0,0,0
45,0,0.761728395061728,0.653472222222222,0.702857142857143,0.657057057057057,0.791397849462366,0.674285714285714,0.718888888888889,0.655555555555556,0,0,0,0,0.913,0,0,0,0.177777777777778,0.559375,0.331428571428571,0.554054054054054,0.106451612903226,0.454285714285714,0.56,0.58125,0.382857683989801,0.497239637451895,0.471400661548703,0.497742652128334,0.308913414488772,0.498618640351457,0.497008595357916,0.494126949281528
46,0,0.766666666666667,0.663194444444444,0.707301587301587,0.657057057057057,0.791397849462366,0.674285714285714,0.646666666666667,0.66875,0,0,0,0,0.913,0,0,0,0.177777777777778,0.534375,0.328571428571429,0.554054054054054,0.106451612903226,0.454285714285714,0.495,0.584375,0.382857683989801,0.499598192782935,0.470366210174765,0.497742652128334,0.308913414488772,0.498618640351457,0.500601142387229,0.493601297991922
